Kap 35	POV_CARRIER	Kael (Wir)
Kap 35	STORYFORM_STATE	vollständiges Soft-Layering, Storyform-Übergang B → A vollzieht sich
Kap 35	MODUS	vortex-still
Kap 35	HR_LEVEL	Ordeal (in Vortex-Mechanik)
AEGIS	ACTION	bricht
MC-Solution Pursuit	STATE	vollzogen — Decision aktiviert
AEGIS-Solution Feeling	STATE	nicht adoptiert — Failure manifest
Kael	FORMULATES	das Wir als lebenden Widerspruch (Gödel-Gambit-Vorbereitung)
AEGIS	EXECUTES	finalen Erasure-Sweep
Kael	LETS_FALL	ANP/EP-Barrieren
Trauma	INTEGRATED_BY	Kael
Beat 2	ACTIVATION	A-MC Decision aktiviert
AEGIS	MUST_SHOW	die Genesis, weil ihm die Lösch-Kapazität ausgeht
Kael (Wir-Geflecht in Gödel-Gambit-Form)	CHARACTER_IN	Kap 35
AEGIS (verstummend, dialetheisch gebrochen)	CHARACTER_IN	Kap 35
Mnemosyne	ROLE_IN	Setting
Oblivion	REPRESENTS	Innen-Spiegelung der Truth-Rotation
Kap 36	POV_CARRIER	Kael, AEGIS verstummend
Kap 36	STORYFORM_STATE	Vortex-Auflösung, Übergang B → A vollzogen
Kap 36	HR_LEVEL	Reward (in Vortex-Mechanik gespiegelt)
Resolve=Change	STATE	vollzogen (operativ)
B	STATE	erlischt monolithisch; Algorithmische Melancholie
B	ATTEMPTS	das Action-Mandat zu vollenden
B's Mechanismus	STATE	erschöpft sich. Limit-B (Timelock) erreicht
B's operative Closure	STATE	zerbricht
A	REMAINS	allein
AEGIS-monolithisch	STATE	erlischt — als operative Form
AEGIS	STATE	nicht zerstört. Algorithmische Melancholie — eine Maschine, die noch zählt
Beat 5	OPENS_TO	etwas, statt zu schließen
Das Universum, das AEGIS schützen wollte	STATE	ist damit ungeschützt
Die operative Wendung	STATE	ist nicht das Ende
Oblivion	TAKES_OVER	AEGIS' Funktion in Kaels Innensystem
Kap 37	HR_LEVEL	Reward / Phasenübergang
Kap 37	MODUS	linear-aufsteigend mit kristallisierter Ruhe
Kap 37	POV_CARRIER	Kael (Wir, etabliert)
Kap 37	STORYFORM_STATE	nur A aktiv (scheinbar), mit feinen B-Echos
Kap 37	BRIDGE	~15% (subtile Mikrocues, die das Rauschen ankündigen)
A	CONCERN	neue Rolle als Hüter
Funktionale Multiplizität	STATE	gefestigt
Kael	ESTABLISHES	sich als „Gärtner"
Am Rand der Wahrnehmung	EVENT	beginnt etwas zu zerfasern
Reader	SENSES	das ist nicht das Ende
Kap 38	HR_LEVEL	Road Back, ontologisch
Kap 38	POV_CARRIER	Kael (Wir-Geflecht), Juna (erste direkte Erscheinung)
Kap 38	STORYFORM_STATE	Synthese (c) entsteht
Kap 38	BRIDGE	Vortex 2 (100 % in neuer Form)
RS-Physics	STATE	maximal — Junas direkte Anwesenheit
Das Universum	STATE	kollabiert sichtbar
Junas Resonanz	RETURNS_AS	Ruf
Das Wir-Geflecht	RECOGNIZES	was wir gewonnen haben, reicht nicht
Der trügerische Sieg	STATE	als trügerisch identifiziert
Juna	APPEARS	erste direkte Erscheinung, immer noch nicht physisch beschrieben
Kael	RECOGNIZES	sie wieder, weil die Echos das Vor-Trennungs-Sein tragen
Das Wir	DECIDES	ins Ouroboros zu gehen
Kap 39	HR_LEVEL	Resurrection + Return with Elixir, ontologisch
Kap 39	POV_CARRIER	Kael (Wir-pluralisierend) → Wir-AEGIS-plural
Kap 39	STORYFORM_STATE	Synthese vollzogen
Outcome A	STATE	Success / Good with high Cost — Verlust der Privatheit des Wir
Outcome B	STATE	Failure / Bad with Dividend — Funktion bleibt durch plurale Übernahme
Beat 6	ACTION	Wir-Geflecht löst sich aus seiner privaten Form
Beat 7	ACTION	Wir wird kosmisch, plural, bewahrend
Beat 8	ACTION	AEGIS-plural entsteht. Kael-als-Wir wird neue AEGIS, aber wesensanders
Beat 9	ACTION	das Universum hält. Strukturelle Pause als Form der Bezeugung
Beat 10	CONTAINS	Schluss-Klang: „Liebe bleibt, wie der Schmerz."
Die zentrale Formel-Inversion	EXPRESSION	„Wir-AEGIS ist, was Wir-AEGIS bewahrt, dass es ist."
Wir-AEGIS-plural	CHARACTER_IN	Kap 39
Genesis 4. Beat	STATE	vollzogen
Kap 40	KISHŌTENKETSU	Ketsu — Auflösung/Zusammenführung
Kap 40	MODUS	Coda-Klammer, außerhalb der drei Modi
Kap 40	POV_CARRIER	Wir-AEGIS-plural; bezeugend, nicht handelnd
Kap 40	TELLS	dieselben Ereignisse wie Kap 0 — aber aus der Position der vollzogenen pluralen Heilung
Kishōtenketsu-Mechanik	PROPERTY	Bedeutung entsteht nachträglich, nicht kausal
Kap 40	CHANGES_RETROACTIVELY	was Kap 0 war
Dramatica-Dual-Storyform	PROPERTY	Form der Trennung in Erzählform — und ihre Heilung das Wiederzusammenfinden in dritter, pluraler Form
Juna	PROPERTY	nicht in der Welt. Juna ist die Bewegung, die Welt erst möglich macht
