C1	AEGIS: what the name stands for	Gatekeeper|Akronym AEGIS|Autogenic Emergent
C2	Entropie: which sense	schöpferische Matrix|Entropie Unordnung|Entropie Bedingung
C3	Emergenz: where AEGIS comes from	Emergenz Leere|AEGIS entstanden|emergentes Phänomen
C4	the blind spot: AEGIS' or each Guardian's	blinder Fleck|kategoriale Unfähigkeit|Blindheit Guardian
C5	Möglichkeits-Garten: a world or a place	Möglichkeits-Garten|Garten der Möglichkeiten
C6	Guardians: five or two	fünf Guardians|zwei Guardians
C7	Juna's first direct appearance	Juna erscheint|Garten der Stillen Präsenz|Junas Erscheinung
C8	AEGIS' Approach in Storyform B	Be-er|Do-er
C9	Konstrukt-Stadt: its scale	Konstrukt-Stadt
C10	the bleeding knuckles	Knöchel
C11	Landauer: warm or cold ozone	Landauer-Wärme|kaltes Ozon|Landauer-Signatur|Hitzeschlieren
C12	Genesis: three beats or four; 734's order	Genesis-Beat|Vier-Beat|Komponente 734|Trennungsprotokoll
C13	Externe Ebene / Basisrealität	Externe Ebene|Basisrealität
C14	AEGIS in the first person	AEGIS Innensicht|AEGIS Ich-Perspektive|AEGIS erste Person
C15	who carries Flight	Flight|Flucht-Riss
Q1	Guardians and AEGIS	Guardians Subsysteme|Guardians AEGIS Komponenten|Guardian Architektur
Q2	the eight protocols	Nullpunkt-Protokoll|Zero-Trust|ZTV|SNK
Q3	how many worlds and alters	dreizehn Alters|vier Kernwelten|20 Kernwelten
Q4	Wächter	Wächter|Wächterin
Q5	Guardian–world pairing, Erasure-Pol, Sophia	Erasure-Pol|Sophia|Kairos
A1	Ursprungs-Ich	Ursprungs-Ich
A2	Alex before the separation	Sekunde der Fragmentierung|Alex Genesis
A3	Mira	Mira
A4	Mosaik-Herz: one thing or two	Mosaik-Herz
A5	KW2: Resonanz-Landschaft or Mnemosyne-Archipel	Resonanz-Landschaft|Mnemosyne-Archipel
A6	the final form's name	Wir-AEGIS|Mosaik-AEGIS|Plurale Kohärenz
A7	Kael-Julia-Bindung	Kael-Julia-Bindung|Kael-Juna-Verbindung
A8	Einheit 734	Einheit 734|Wohneinheit
A9	world names after C6	Cerberus-Labyrinth|Kairos-Potentialis
A10	Kap 40's last line	Wir tragen die Welt|Wir tragen die Scherben
A11	the Abhandlung's Setzungen	Vermittler-Stimme|Wärme-Spur
A12	one Vortex or two	Vortex 2|trügerischer Sieg|plurale Apotheose
A13	eleven alters or thirteen	elf Alters|elf Anteile
A14	the living Gödel statement	Gödel-Aussage|Gödel-Gambit
A15	does AEGIS have qualia	Qualia AEGIS|Funktionalist
