Kohärenz Protokoll	HAS_TOTAL_CHAPTERS	41	chunk1	L11	L11
Kohärenz Protokoll	HAS_STRUCTURAL_LEVEL	Kishōtenketsu	chunk1	L11	L13
Kishōtenketsu	PHASE_SHO_ENCOMPASSES	Akt II zyklischer Modus	chunk1	L13	L30
Akt I	NARRATIVE_MODE	linear-introspektiv	chunk1	L29	L96
Akt II	NARRATIVE_MODE	rekursiv-eskalierend	chunk1	L30	L97
Storyform A	HAS_NAME	Heuristics of Integration	chunk1	L44	L44
Storyform A	MC	Kael	chunk1	L44	L44
Storyform A	MC_DOMAIN	Mind	chunk1	L44	L49
Storyform A	CONCERN	Memory	chunk1	L44	L49
Storyform A	ISSUE	Falsehood-vs-Truth	chunk1	L44	L49
Storyform A	OS	Psychology	chunk1	L44	L51
Storyform A	RS	Physics	chunk1	L44	L51
Storyform A	GROWTH	Start	chunk1	L44	L48
Storyform A	APPROACH	Be-er	chunk1	L44	L48
Storyform B	HAS_NAME	Phoenix Collapse	chunk1	L55	L55
Storyform B	MC	AEGIS	chunk1	L55	L55
Storyform B	MC_DOMAIN	Universe	chunk1	L55	L51
Storyform B	CONCERN	Progress	chunk1	L55	L60
Storyform B	ISSUE	Fact-vs-Fantasy	chunk1	L55	L60
Storyform B	IC	Kael als lebende Paradoxie	chunk1	L55	L62
Storyform B	OS	Physics	chunk1	L55	L51
Storyform B	RS	Psychology	chunk1	L55	L51
Storyform B	GROWTH	Stop	chunk1	L55	L59
Storyform B	APPROACH	Do-er	chunk1	L55	L59
AEGIS	FULL_NAME	Autonomous Entropic Gatekeeper for Integrity Systems	chunk1	L55	L117
Juna	STRUCTURAL_ROLE	Gödel-Aussage	chunk1	L51	L121
Juna	STRUCTURAL_ROLE	Chaitin-Konstante	chunk1	L51	L121
Juna	STRUCTURAL_ROLE	Witness-Funktion	chunk1	L51	L121
Juna	APPEARANCE_FIRST	Kap 38 Beat 3	chunk1	L51	L121
Kael	STRUCTURAL_IDENTITY	System aus dreizehn Fragmenten	chunk1	L44	L125
Kael	WITHIN_SIMULATION	Komponente 734	chunk1	L44	L125
Kael	WITHIN_SIMULATION	Archivar Klasse II	chunk1	L44	L125
KW1	NAME	Logos-Prime	chunk1	L172	L172
KW1	MODE	Rationalisierung	chunk1	L172	L172
KW1	DOMAIN	ANP-Domäne	chunk1	L172	L172
KW2	NAME	Mnemosyne-Archipel	chunk1	L173	L160
KW2	MODE	Trauma-Erinnerung	chunk1	L173	L173
KW2	DOMAIN	EP-Domäne	chunk1	L173	L173
KW2	COMPUTATIONAL_CLASS	Parakonsistent	chunk1	L173	L173
KW2	GUARDIAN	Mnemosyne	chunk1	L173	L113
KW3	NAME	Cerberus-Labyrinth	chunk1	L174	L174
KW3	COMPUTATIONAL_CLASS	NP-Hard	chunk1	L174	L174
KW4	NAME	Möglichkeits-Garten	chunk1	L175	L175
KW4	MODE	Integration	chunk1	L175	L44
KW4	COMPUTATIONAL_CLASS	Generativ	chunk1	L175	L175
Basisrealität	LOCATION	Köln 2026	chunk1	L125	L179
Kap 0	TITLE	Genesis-Prolog	chunk1	L13	L29
Kap 0	NARRATIVE_MODE	Außerhalb der Modi	chunk1	L13	L95
